albums,red,blue,yellow,green,black,brown,grey,pink,purple,orange,white,gold,silver
Taylor Swift,2,2,0,0,1,0,1,0,0,0,0,1,0
Fearless,9,0,0,0,0,0,1,0,0,0,3,1,0
Speak Now,9,1,0,2,0,0,0,0,0,0,1,0,0
Red,12,8,0,2,1,0,3,0,0,0,0,1,1
1989,5,0,0,2,2,0,0,0,0,0,2,0,0
Reputation,6,3,0,1,3,0,2,0,0,0,1,4,0
Lover,8,6,0,0,1,0,1,1,0,1,1,1,0
Folklore,6,2,0,1,1,0,0,1,1,0,0,1,0
Evermore,8,1,0,2,0,0,3,0,0,0,1,3,0
Midnights,9,2,0,1,1,1,2,0,0,0,1,0,0
The Tortured Poets Department,18,4,0,2,3,1,4,1,1,0,4,2,0
